component,load_N,temperature_C,material_type,stress_Pa,strain,yield_point_Pa,safety_factor,manufacturing_method,estimation_cost,modulus_gpa,thermal_expansion_alpha,density_kg_m3,delta_temp,thermal_stress_estimate_pa,temp_degradation_factor,adjusted_yield_point_pa,stress_to_yield_ratio,load_intensity,material_efficiency,safety_factor_capped
bolt,2320.266164,76.97433771,abs_plastic,947524.6698,0.000473762,14341887.43,15.13616256,Injection Molding,460.86,2.3,73.8,1050,56.97433771,9670824.082895398,0.971512831145,13933327.661082188,0.06606694372861913,0.00016178248332548794,0.014415392914285716,15.13616256
spring,3728.040967,749.2871126,chromium,515114.5127,1.85e-06,150237629.1,291.6587,3D Printing,384.85,279.0,4.9,7190,729.2871126,997008411.6354601,0.6353564437,95454445.73489563,0.003428665080684504,2.4814295788164832e-05,0.040564492350486786,291.6587
gear,5137.259361,643.6059658,chromium,1991516.171,7.14e-06,185464678.1,93.1273774,Milling,150.85,279.0,4.9,7190,623.6059658,852531715.8451802,0.6881970171,127636238.2458317,0.010737980899663288,2.769939491243751e-05,0.012952347343532684,93.1273774
cam,4918.747314,92.48790302,abs_plastic,1117769.026,0.000558885,9170698.994,8.204466917,Casting,78.25,2.3,73.8,1050,72.48790302,12304096.6586148,0.96375604849,8838316.624348659,0.12188482325407353,0.0005363546788765096,0.007813778016190476,8.204466917
spring,5811.348458,404.1638012,steel,2858641.6,1.43e-05,144749010.1,50.63559213,Injection Molding,336.26,200.0,12.0,7850,384.1638012,921993122.8800001,0.8079180993999999,116945345.13002339,0.019748954400621493,4.014775958733828e-05,0.006450393901910828,50.63559213
lever,5762.841572,465.7613283,titanium,10838982.85,9.85e-05,317798339.6,29.31994119,Machining,270.48,116.0,8.6,4500,445.7613283,444691501.11208,0.7771193358499999,246967234.60418475,0.03410648042920108,1.8133642797673068e-05,0.006515542486666667,29.31994119
bracket,4752.450689,293.969135,chromium,537207.0196,1.93e-06,302010288.3,562.1860425,Milling,370.7,279.0,4.9,7190,273.969135,374543204.4585,0.8630154325,260639539.5766742,0.0017787705929619485,1.573605560178527e-05,0.07818999200278164,562.1860425
bracket,9535.411286,277.9852376,steel,1711193.955,8.56e-06,177608011.0,103.7918645,Milling,115.12,200.0,12.0,7850,257.9852376,619164570.24,0.8710073812,154697888.5412508,0.009634666507244429,5.368795716089631e-05,0.013221893566878981,103.7918645
housing,9805.282679,63.70082848,titanium,3136284.909,2.85e-05,820373964.4,261.5750763,3D Printing,218.2,116.0,8.6,4500,43.70082848,43595946.491647996,0.97814958576,802448453.446149,0.003822994201545385,1.1952210948297618e-05,0.05812779473333333,261.5750763
coupling,3237.527851,152.2043424,steel,576859.5948,2.88e-06,210363452.5,364.670111,3D Printing,292.63,200.0,12.0,7850,132.2043424,317290421.76,0.9338978287999999,196457971.54862192,0.0027422044463735924,1.5390163132067818e-05,0.04645479121019108,364.670111
housing,9307.166665,39.71651664,aluminium,4292388.885,6.13e-05,133451451.4,31.09025183,Injection Molding,120.28,69.0,23.1,2700,19.716516640000002,31426155.872496,0.99014174168,132135852.51891989,0.0321644226418657,6.974196659055595e-05,0.011514908085185184,31.09025183
housing,2616.220126,102.6813648,aluminium,794418.3063,1.13e-05,107216098.0,134.9617666,Forging,463.99,69.0,23.1,2700,82.6813648,131785827.35472,0.9586593176,102783711.34441473,0.007409505858905628,2.4401374185432492e-05,0.049985839481481484,134.9617666
flange,1452.551181,572.9505776,steel,260644.6463,1.3e-06,100794120.4,386.7108796,3D Printing,277.61,200.0,12.0,7850,552.9505776,1327081386.24,0.7235247112000001,72927036.85306804,0.002585911214519612,1.4411070558833905e-05,0.049262532433121016,386.7108796
piston,8120.122607,262.7802492,aluminium,888310.9328,1.27e-05,40508229.5,45.60140825,Casting,468.71,69.0,23.1,2700,242.78024920000001,386967439.19988,0.8786098754,35590930.4736696,0.021929147330420846,0.00020045612230472823,0.016889410462962964,45.60140825
piston,6316.154708,171.5336837,steel,7872411.823,3.94e-05,205329769.9,26.08219368,Machining,386.09,200.0,12.0,7850,151.5336837,363680840.88000005,0.92423315815,189772581.69688982,0.03834033334198949,3.076102754644932e-05,0.003322572443312102,26.08219368
cam,8877.509775,47.06443644,chromium,1522529.828,5.46e-06,384311854.5,252.4166341,Machining,411.58,279.0,4.9,7190,27.06443644,36999791.05712401,0.98646778178,379111262.62037313,0.00396170404366228,2.3099755240571173e-05,0.03510662504867872,252.4166341
coupling,4709.42038,334.7338881,titanium,1603611.787,1.46e-05,481582639.8,300.3112373,Injection Molding,211.12,116.0,8.6,4500,314.7338881,313978526.76856,0.8426330559499999,405797451.46714205,0.003329878725831927,9.779049307001201e-06,0.06673583051111112,300.3112373
piston,401.9524744,30.45749285,aluminium,48758.47658,6.97e-07,137309378.0,2816.112963,Injection Molding,65.83,69.0,23.1,2700,10.457492850000001,16668197.853615003,0.994771253575,136591422.08066353,0.00035509939153609743,2.9273490292848027e-06,1.043004801111111,1000.0
pulley,1357.899075,322.9010908,titanium,175826.7898,1.6e-06,496373636.5,2823.083087,Milling,80.65,116.0,8.6,4500,302.9010908,302174128.18208,0.8485494546,421197578.52989364,0.00035422265984909936,2.7356389927852263e-06,0.6273517971111111,1000.0
bracket,6266.615711,103.6405157,chromium,10245443.56,3.67e-05,365453161.4,35.66982332,3D Printing,182.32,279.0,4.9,7190,83.6405157,114344949.01347001,0.95817974215,350169815.9581543,0.02803490198511661,1.714752086695179e-05,0.004961032450625869,35.66982332
bearing,6410.556025,441.1329736,titanium,656756.3086,5.97e-06,348583783.1,530.7657931,Injection Molding,299.17,116.0,8.6,4500,421.1329736,420122254.46335995,0.7894335132,275183720.5371798,0.0018840701732002058,1.8390287603141225e-05,0.11794795402222222,530.7657931
bracket,3297.269082,242.6521345,aluminium,1185539.517,1.69e-05,48894943.94,41.2427787,Forging,486.36,69.0,23.1,2700,222.6521345,354885237.17955,0.88867393275,43451662.12275057,0.024246668908237224,6.743578816750761e-05,0.015275103222222223,41.2427787
bracket,876.7181753,27.09820816,aluminium,91038.23573,1.3e-06,138709079.9,1523.635413,3D Printing,496.26,69.0,23.1,2700,7.098208159999999,11313833.986223998,0.99645089592,138216786.93859386,0.0006563249918147572,6.320553607103841e-06,0.5643094122222222,1000.0
coupling,6916.149018,65.3910045,steel,754987.3382,3.77e-06,232971092.6,308.5761585,Injection Molding,352.59,200.0,12.0,7850,45.391004499999994,108938410.79999998,0.9773044977500001,227683696.64371175,0.003240691065033877,2.968672611187299e-05,0.039309064777070066,308.5761585
housing,2473.894856,46.28452122,aluminium,1294979.763,1.85e-05,130714782.8,100.9396336,3D Printing,302.49,69.0,23.1,2700,26.284521220000002,41894898.372558005,0.98685773939,128996895.05886285,0.009906911332143529,1.8925899603759276e-05,0.037385049481481476,100.9396336
lever,6418.878879,61.33570059,abs_plastic,971762.011,0.000485881,19554766.47,20.12299951,Forging,412.78,2.3,73.8,1050,41.33570059,7016321.818146599,0.979332149705,19150611.484044354,0.04969438077876468,0.00032825136975414874,0.019164761438095236,20.12299951
spring,4254.040618,39.81847916,abs_plastic,1173810.317,0.000586905,26727173.61,22.76958486,Machining,337.06,2.3,73.8,1050,19.818479160000003,3363988.6526184,0.99009076042,26462327.643402256,0.043918235954467616,0.00015916537528713273,0.02168531891428571,22.76958486
spring,3484.6087,91.60327133,steel,3376054.426,1.69e-05,226144981.4,66.98499281,Milling,417.47,200.0,12.0,7850,71.60327133,171847851.192,0.9641983643350001,218048621.168449,0.014928716989869932,1.5408737697506118e-05,0.008533120103184712,66.98499281
cam,1835.769672,36.8178798,chromium,239740.8754,8.59e-07,387727373.4,1617.276874,Casting,242.27,279.0,4.9,7190,16.8178798,22991723.474580005,0.9915910601,384466997.2194945,0.0006183233164522296,4.734691945791826e-06,0.22493419666203057,1000.0
spring,1814.698512,445.1746163,chromium,448605.7342,1.61e-06,251608461.2,560.8676886,Machining,305.3,279.0,4.9,7190,425.1746163,581256217.9437301,0.78741269185,198119695.72572827,0.0017829517022617523,7.212390645947005e-06,0.0780066326286509,560.8676886
piston,8878.135834,40.87148987,abs_plastic,35298640.79,0.01764932,26376170.04,0.747229056,Casting,204.83,2.3,73.8,1050,20.871489869999998,3542726.690533799,0.989564255065,26100915.05710037,1.338277723280859,0.00033659685316466065,0.00071164672,0.747229056
bolt,5060.294851,171.0256856,aluminium,736445.515,1.05e-05,78739297.69,106.9180219,Machining,415.98,69.0,23.1,2700,151.0256856,240719840.27784002,0.9244871572,72793469.48135263,0.00935296016862403,6.426644635468554e-05,0.03959926737037037,106.9180219
flange,362.4619744,184.0171628,aluminium,38525.85147,5.5e-07,73326182.18,1903.298159,Milling,459.78,69.0,23.1,2700,164.0171628,261426955.78691998,0.9179914186,67312805.99994025,0.0005254037551747522,4.943145321683785e-06,0.7049252440740741,1000.0
flange,3942.882269,650.4224541,chromium,850363.2313,3.05e-06,183192515.3,215.428547,Casting,444.24,279.0,4.9,7190,630.4224541,861850537.0001101,0.68478877295,125448177.7659111,0.004641910341737635,2.1523162464050734e-05,0.02996224575799722,215.428547
bolt,9420.501607,243.9395299,titanium,979691.2116,8.91e-06,595075587.6,607.4113767,Casting,290.58,116.0,8.6,4500,223.9395299,223402075.02823997,0.88803023505,528445113.9289449,0.0016463307048961522,1.5830764701663925e-05,0.13498030593333332,607.4113767
piston,2038.332234,60.22955451,titanium,1856908.193,1.69e-05,824713056.9,444.1323808,Machining,205.85,116.0,8.6,4500,40.22955451,40133003.579175994,0.979885222745,808124137.4611664,0.002251580931651429,2.4715653728847856e-06,0.09869608462222222,444.1323808
shaft,1034.985311,74.64054187,abs_plastic,1286067.29,0.000643034,15119819.38,11.75663163,Forging,349.47,2.3,73.8,1050,54.64054187000001,9274685.5770138,0.972679729065,14706741.818050137,0.08505837653729961,6.845222717204177e-05,0.011196792028571429,11.75663163
flange,8464.265579,21.86175486,abs_plastic,1036876.005,0.000518438,32712748.38,31.54933496,Milling,105.48,2.3,73.8,1050,1.8617548600000013,316014.2699364002,0.99906912257,32682296.82085979,0.031696389216686174,0.0002587451681123468,0.030046985676190477,31.54933496
valve_body,6959.614551,361.3698724,chromium,742531.8099,2.66e-06,279543375.9,376.4732664,Injection Molding,265.01,279.0,4.9,7190,341.3698724,466686752.5580401,0.8293150638,231829532.61937585,0.002656231103704003,2.489636725818764e-05,0.052360676828929066,376.4732664
flange,4237.665714,968.2289405,chromium,767009.197,2.75e-06,77257019.84,100.7250241,Casting,121.1,279.0,4.9,7190,948.2289405,1296323784.5575502,0.52588552975,40628348.80546466,0.00992801946785526,5.4851529644506666e-05,0.014009043685674547,100.7250241
spring,5728.350809,469.2211687,steel,780077.1917,3.9e-06,127806987.3,163.8388978,Casting,446.71,200.0,12.0,7850,449.2211687,1078130804.88,0.77538941565,99100185.19853397,0.006103556684807326,4.4820325789809146e-05,0.020871197171974522,163.8388978
bearing,2575.162847,182.5523235,aluminium,296525.5761,4.24e-06,73936531.89,249.3428488,Forging,57.15,69.0,23.1,2700,162.5523235,259092148.42665,0.91872383825,67927254.36487433,0.004010542130122625,3.4829370287900854e-05,0.09234920325925926,249.3428488
spring,4347.040871,755.8536464,chromium,574247.7597,2.06e-06,148048784.5,257.8134299,Injection Molding,242.67,279.0,4.9,7190,735.8536464,1005985519.9934402,0.6320731768,93577665.54029359,0.003878773889562059,2.936221925550493e-05,0.03585722251738526,257.8134299
valve_body,5389.841988,407.3177287,steel,1362027.706,6.81e-06,143927674.8,105.6716205,Machining,337.79,200.0,12.0,7850,387.3177287,929562548.88,0.80634113565,116054804.7496959,0.009463278746722308,3.744826695414661e-05,0.013461352929936306,105.6716205
lever,1089.850383,51.02147211,titanium,113649.6659,1.03e-06,836223159.9,7357.902493,3D Printing,348.33,116.0,8.6,4500,31.021472109999998,30947020.576935995,0.984489263945,823252723.1837131,0.00013590829738988674,1.30330088337942e-06,1.6350894428888887,1000.0
bolt,3613.561386,957.6648674,chromium,531404.3627,1.9e-06,80778377.53,152.0092479,Casting,416.88,279.0,4.9,7190,937.6648674,1281881640.2225404,0.5311675663,42906854.2022727,0.006578547118040885,4.473426548655266e-05,0.02114175909596662,152.0092479
bearing,4980.954012,68.30495849,titanium,4942054.813,4.49e-05,814618801.9,164.8340281,Injection Molding,357.84,116.0,8.6,4500,48.304958490000004,48189026.589623995,0.975847520755,794943738.1945235,0.006066708503993836,6.114459917181541e-06,0.03662978402222222,164.8340281
bracket,5581.660218,185.9277581,steel,589570.9341,2.95e-06,201581313.0,341.9118911,Machining,194.25,200.0,12.0,7850,165.9277581,398226619.44,0.91703612095,184857345.3295278,0.0029247301018423266,2.7689373260506544e-05,0.04355565491719745,341.9118911
valve_body,9316.198146,97.93985668,abs_plastic,935387.6218,0.000467694,7353381.106,7.861319665,3D Printing,243.4,2.3,73.8,1050,77.93985668,13229511.272863198,0.96103007166,7066820.371242469,0.12720510583040084,0.0012669271470777488,0.0074869711095238095,7.861319665
piston,7396.652012,63.67326161,abs_plastic,1043585.217,0.000521793,18775579.46,17.99141954,Machining,290.34,2.3,73.8,1050,43.67326161,7413099.425681398,0.978163369195,18365584.06318204,0.05558205110118076,0.0003939506648920224,0.017134685276190477,17.99141954
housing,6911.497101,840.2245968,chromium,796071.9829,2.85e-06,119925134.4,150.6460936,Casting,109.07,279.0,4.9,7190,820.2245968,1121329046.2852802,0.5898877015999999,70742361.8952871,0.006638074552785324,5.763176448022392e-05,0.02095216878998609,150.6460936
pulley,2303.506534,51.73212816,abs_plastic,257957.8321,0.000128979,22755957.28,88.21580295,Machining,197.66,2.3,73.8,1050,31.732128160000002,5386211.433878399,0.98413393592,22394909.803593777,0.011335837421645924,0.00010122652743879645,0.08401505042857142,88.21580295
shaft,5181.92907,38.65824579,abs_plastic,885054.9379,0.000442527,27113918.07,30.63529382,3D Printing,317.95,2.3,73.8,1050,18.658245790000002,3167050.6403945996,0.990670877105,26860968.996160008,0.032642089410134446,0.00019111694062886133,0.029176470304761906,30.63529382
lever,8815.56369,204.6144511,steel,970218.0267,4.85e-06,196714986.7,202.7533825,Casting,241.93,200.0,12.0,7850,184.6144511,443074682.64,0.90769277445,178556772.05361784,0.004932100207391063,4.481388956624931e-05,0.02582845636942675,202.7533825
lever,3567.160642,714.0175717,chromium,732701.7175,2.63e-06,161994142.8,221.0915287,3D Printing,252.38,279.0,4.9,7190,694.0175717,948791422.2710701,0.65299121415,105780751.9921605,0.004523013640095634,2.2020306292209964e-05,0.03074986490959666,221.0915287
bracket,2562.369129,211.5464668,titanium,582214.6048,5.29e-06,635566916.5,1091.636849,Forging,91.89,116.0,8.6,4500,191.5464668,191086755.27967995,0.9042267666,574696617.8647271,0.0009160555555757911,4.031627610686057e-06,0.24258596644444444,1000.0
lever,4111.500659,65.71784202,abs_plastic,552945.0031,0.000276473,18094052.66,32.72306027,3D Printing,84.02,2.3,73.8,1050,45.717842020000006,7760146.5044748,0.97714107899,17680442.13949428,0.030559488992887674,0.00022722939610368085,0.031164819304761903,32.72306027
